TimeSeries ID,projects/651136027056/locations/europe-west9/tensorboards/1772447928347000832/experiments/tuning-experiment-20250814024841145713/runs/tuning-experiment-run-20250814024841145713/timeSeries/362258295026614272,projects/651136027056/locations/europe-west9/tensorboards/1772447928347000832/experiments/tuning-experiment-20250814024841145713/runs/tuning-experiment-run-20250814024841145713/timeSeries/6415096194212560896
551,0.7808723449707031,0.8011730057852608
550,0.8921447396278381,0.8014868327549526
549,0.851671040058136,undefined
548,0.8489345908164978,undefined
547,0.9019089341163635,undefined
546,0.7552577257156372,undefined
545,0.8100810647010803,undefined
544,0.8380857706069946,undefined
543,0.8157921433448792,undefined
542,0.8927245140075684,undefined
541,0.7712852954864502,undefined
540,0.7522937059402466,undefined
539,0.8797447085380554,undefined
538,0.865669310092926,undefined
537,0.7586712837219238,undefined
536,0.9048181176185608,undefined
535,0.6866161823272705,undefined
534,0.961297333240509,undefined
533,0.8716585040092468,undefined
532,0.9036670923233032,undefined
531,0.8057869672775269,undefined
530,0.8605321645736694,undefined
529,0.8826026916503906,undefined
528,0.7580322623252869,undefined
527,0.7603817582130432,undefined
526,0.7558507919311523,undefined
525,0.7346185445785522,undefined
524,0.8448163270950317,undefined
523,0.8907210826873779,undefined
522,0.7876548767089844,0.8025554248264858
521,0.820015549659729,undefined
520,0.8880401849746704,undefined
519,0.7905161380767822,undefined
518,0.7846580743789673,undefined
517,0.7387869954109192,undefined
516,0.779146671295166,undefined
515,0.6976144313812256,undefined
514,0.7927371263504028,undefined
513,0.8518784642219543,0.802558422088623
512,0.8120152354240417,undefined
511,0.8747715950012207,undefined
510,0.8663377165794373,undefined
509,0.7798581719398499,undefined
508,0.9203411340713501,undefined
507,0.7800801396369934,undefined
506,0.7917747497558594,undefined
505,0.8491957187652588,undefined
504,0.7628448009490967,undefined
503,0.8240478038787842,undefined
502,0.8198514580726624,undefined
501,0.816139817237854,undefined
500,0.7239014506340027,0.8016168049403599
499,0.8764230608940125,undefined
498,0.7408636212348938,undefined
497,0.8978942632675171,undefined
496,0.9194660782814026,undefined
495,0.8198341131210327,undefined
494,0.8347244262695312,undefined
493,0.8051626682281494,undefined
492,0.8950486779212952,undefined
491,0.790221095085144,undefined
490,0.8255478143692017,undefined
489,0.9206019043922424,undefined
488,0.7252926826477051,undefined
487,0.8457117080688477,undefined
486,0.7358250617980957,undefined
485,0.8826773166656494,undefined
484,0.793708324432373,undefined
483,0.9277540445327759,undefined
482,0.7787176370620728,undefined
481,0.8236945271492004,undefined
480,0.8423383235931396,undefined
479,0.8414088487625122,undefined
478,0.8734722137451172,undefined
477,0.8402325510978699,undefined
476,0.7707263827323914,undefined
475,0.7505025863647461,undefined
474,0.7317084074020386,undefined
473,0.8154295682907104,undefined
472,0.826304018497467,undefined
471,0.7972587943077087,undefined
470,0.9008067846298218,undefined
469,0.7697408199310303,undefined
468,0.911730170249939,undefined
467,0.8431731462478638,undefined
466,0.8110275864601135,undefined
465,0.8249809741973877,undefined
464,0.9165260195732117,0.8010373796735492
463,0.848645806312561,undefined
462,0.8155887126922607,undefined
461,0.8818714618682861,undefined
460,0.8501758575439453,undefined
459,0.7886602878570557,undefined
458,1.0441497564315796,undefined
457,0.8270596861839294,undefined
456,0.8088968396186829,0.8018279075622559
455,0.8704147934913635,undefined
454,0.8976688981056213,undefined
453,0.734441876411438,undefined
452,0.6953033804893494,undefined
451,0.8224777579307556,undefined
450,0.9572592377662659,0.8021165984017509
449,0.8381895422935486,undefined
448,0.7093340754508972,undefined
447,0.9058933258056641,undefined
446,0.8095900416374207,undefined
445,0.8490099310874939,undefined
444,0.81486976146698,undefined
443,0.7938330173492432,undefined
442,0.7717068195343018,undefined
441,0.759234607219696,undefined
